mapa,algoritmo,sucesso,custo,passos,explorados,expandidos,tempo_segundos,fronteira_max,desempenho_J
lab1p.txt,BFS,True,130.0,130,514,513,0.00101873,13,-386.60187270
lab1p.txt,DFS,True,130.0,130,418,417,0.00102335,119,-338.60233510
lab1p.txt,UCS,True,130.0,130,514,513,0.00127554,13,-386.62755380
lab1p.txt,Greedy,True,130.0,130,135,134,0.00041099,9,-197.04109860
lab1p.txt,A*,True,130.0,130,502,501,0.00135073,23,-380.63507260
lab1.txt,BFS,True,10.0,10,11,10,0.00005016,1,-15.00501600
lab1.txt,DFS,True,10.0,10,11,10,0.00004664,1,-15.00466430
lab1.txt,UCS,True,10.0,10,11,10,0.00004945,1,-15.00494540
lab1.txt,Greedy,True,10.0,10,11,10,0.00004824,1,-15.00482390
lab1.txt,A*,True,10.0,10,11,10,0.00004820,1,-15.00481970
lab2.txt,BFS,True,30.0,30,77,76,0.00018315,5,-68.01831520
lab2.txt,DFS,True,30.0,30,194,193,0.00037788,5,-126.53778820
lab2.txt,UCS,True,30.0,30,77,76,0.00021213,5,-68.02121260
lab2.txt,Greedy,True,30.0,30,54,53,0.00017986,6,-56.51798600
lab2.txt,A*,True,30.0,30,59,58,0.00023385,7,-59.02338520
lab3.txt,BFS,True,4.0,4,6,5,0.00003494,2,-6.50349360
lab3.txt,DFS,True,16.0,16,17,16,0.00005133,2,-24.00513310
lab3.txt,UCS,True,4.0,4,6,5,0.00003648,2,-6.50364830
lab3.txt,Greedy,True,4.0,4,5,4,0.00003348,2,-6.00334790
lab3.txt,A*,True,4.0,4,5,4,0.00003424,2,-6.00342440
lab4.txt,BFS,True,21.0,21,38,37,0.00008921,2,-39.50892130
lab4.txt,DFS,True,21.0,21,22,21,0.00006758,2,-31.50675810
lab4.txt,UCS,True,21.0,21,38,37,0.00010583,2,-39.51058290
lab4.txt,Greedy,True,33.0,33,34,33,0.00010926,8,-49.51092590
lab4.txt,A*,True,21.0,21,32,31,0.00014058,2,-36.51405780
